Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional,player,Tm,Salary
253.0,Jared McCain,21.0,OKC,SG,4.0,0.0,74.0,13.0,29.0,0.448,6.0,14.0,0.429,7.0,15.0,0.467,0.552,5.0,6.0,0.833,4.0,8.0,12.0,4.0,2.0,0.0,6.0,5.0,37.0,0.0,,mccaija01,Jared McCain,OKC,"$4,221,360 "
254.0,Ja'Kobe Walter,21.0,TOR,SG,45.0,10.0,827.0,97.0,226.0,0.429,50.0,143.0,0.35,47.0,83.0,0.566,0.54,36.0,45.0,0.8,31.0,67.0,98.0,45.0,41.0,8.0,25.0,92.0,280.0,0.0,,walteja01,Ja'Kobe Walter,TOR,"$3,638,160 "
255.0,Caris LeVert,31.0,DET,SG,36.0,0.0,706.0,101.0,234.0,0.432,39.0,114.0,0.342,62.0,120.0,0.517,0.515,38.0,56.0,0.679,12.0,53.0,65.0,102.0,33.0,23.0,46.0,57.0,279.0,0.0,,leverca01,Caris LeVert,DET,"$14,104,000 "
256.0,Keegan Murray,25.0,SAC,PF,19.0,18.0,683.0,111.0,259.0,0.429,25.0,92.0,0.272,86.0,167.0,0.515,0.477,30.0,38.0,0.789,30.0,86.0,116.0,29.0,23.0,30.0,22.0,37.0,277.0,0.0,,murrake02,Keegan Murray,SAC,"$11,144,093 "
257.0,Andre Drummond,32.0,PHI,C,40.0,19.0,790.0,109.0,217.0,0.502,19.0,51.0,0.373,90.0,166.0,0.542,0.546,39.0,62.0,0.629,135.0,209.0,344.0,34.0,22.0,35.0,40.0,78.0,276.0,0.0,,drumman01,Andre Drummond,PHI,"$5,000,000 "
259.0,Josh Okogie,27.0,HOU,SG,52.0,29.0,1021.0,96.0,219.0,0.438,47.0,121.0,0.388,49.0,98.0,0.5,0.546,33.0,55.0,0.6,62.0,84.0,146.0,46.0,48.0,12.0,35.0,85.0,272.0,0.0,,okogijo01,Josh Okogie,HOU,"$2,296,274 "
260.0,Jordan Walsh,21.0,BOS,PF,48.0,20.0,886.0,102.0,199.0,0.513,32.0,86.0,0.372,70.0,113.0,0.619,0.593,35.0,45.0,0.778,71.0,137.0,208.0,41.0,41.0,23.0,25.0,107.0,271.0,0.0,,walshjo01,Jordan Walsh,BOS,"$2,221,677 "
261.0,Tyrese Martin,26.0,BRK,SG,37.0,6.0,696.0,100.0,255.0,0.392,51.0,152.0,0.336,49.0,103.0,0.476,0.492,19.0,26.0,0.731,32.0,74.0,106.0,69.0,22.0,4.0,33.0,30.0,270.0,0.0,,martity01,Tyrese Martin,BRK,"$2,191,897 "
262.0,D'Angelo Russell,29.0,DAL,PG,26.0,3.0,495.0,94.0,232.0,0.405,33.0,112.0,0.295,61.0,120.0,0.508,0.476,43.0,60.0,0.717,8.0,53.0,61.0,104.0,12.0,2.0,49.0,30.0,264.0,0.0,,russeda01,D'Angelo Russell,WAS,"$5,685,000 "
263.0,Yves Missi,21.0,NOP,C,47.0,7.0,907.0,113.0,210.0,0.538,0.0,1.0,0.0,113.0,209.0,0.541,0.538,37.0,65.0,0.569,137.0,128.0,265.0,57.0,15.0,64.0,36.0,81.0,263.0,0.0,,missiyv01,Yves Missi,NOP,"$3,353,040 "
264.0,Gary Payton II,33.0,GSW,SG,50.0,1.0,654.0,117.0,220.0,0.532,21.0,68.0,0.309,96.0,152.0,0.632,0.58,8.0,14.0,0.571,58.0,98.0,156.0,78.0,31.0,17.0,43.0,81.0,263.0,0.0,,paytoga02,Gary Payton II,GSW,"$2,296,274 "
